LINE 227 : 2021-04-20 14:52:36,454 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Noto Sans Ethiopic' (NotoSansEthiopic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Latin Modern Sans' (lmsans12-regular.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Waree' (Waree.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Lato' (Lato-Medium.ttf) normal normal 500 normal>) = 10.24
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Berenis ADF Pro' (BerenisADFPro-Italic.otf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Samanata' (samanata.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Noto Serif Display' (NotoSerifDisplay-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Umpush' (Umpush.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Arimo' (Arimo-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Open Sans' (OpenSans-CondLight.ttf) normal normal 300 condensed>) = 10.629999999999999
LINE 1337: 2021-04-20 14:52:42,404 [DEBUG   ] findfont: score(<Font 'Tlwg Typist' (TlwgTypist-Oblique.otf) oblique normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Caladea' (Caladea-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'GentiumAlt' (GentiumAlt-R.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'UnGungseo' (UnGungseo.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Laksaman' (Laksaman-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Linux Libertine O' (LinLibertine_RZ.otf) normal normal 600 normal>) = 10.145
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'UnPilgi' (UnPilgi.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Baekmuk Dotum' (dotum.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'GFS Didot' (GFSDidotBold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Liberation Mono' (LiberationMono-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Noto Sans Armenian' (NotoSansArmenian-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Liberation Sans Narrow' (LiberationSansNarrow-Italic.ttf) italic normal 400 condensed>) = 11.535
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'URW Gothic' (URWGothic-Demi.otf) normal normal 600 normal>) = 10.145
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'GFS Didot' (GFSDidotBoldItalic.otf) italic normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Noto Sans Tagalog' (NotoSansTagalog-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Junicode' (Junicode-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Cabin' (Cabin-Regular.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Padauk' (Padauk-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'EB Garamond Initials Fill1' (EBGaramond-InitialsF1.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Cabin' (Cabin-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Noto Sans Mandaic' (NotoSansMandaic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Liberation Sans' (LiberationSans-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'STIX' (STIX-Regular.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,405 [DEBUG   ] findfont: score(<Font 'Roboto Condensed' (RobotoCondensed-Light.ttf) normal normal 300 condensed>) = 10.629999999999999
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Go Mono' (Go-Mono.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Waree' (Waree.otf) normal normal 400 normal>) = 10.335
